epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.69383,4.00383,0.05495,0.17582,3.94982,3.784e-05,3.784e-05,3.784e-05
2,20.7087,3.78927,0.07692,0.1978,3.92391,7.66337e-05,7.66337e-05,7.66337e-05
3,31.5022,3.44124,0.08791,0.17582,3.99509,0.000114644,0.000114644,0.000114644
4,41.9552,3.05873,0.08791,0.20879,4.18681,0.000151871,0.000151871,0.000151871
5,52.4503,2.77206,0.08791,0.21978,4.48859,0.000165189,0.000165189,0.000165189
6,62.5301,2.57624,0.0989,0.21978,4.60116,0.000163486,0.000163486,0.000163486
7,72.8382,2.37375,0.12088,0.20879,4.62634,0.000161783,0.000161783,0.000161783
8,82.7511,2.22929,0.08791,0.20879,4.77008,0.00016008,0.00016008,0.00016008
9,93.0519,2.10466,0.0989,0.1978,4.88706,0.000158378,0.000158378,0.000158378
10,103.699,1.94665,0.0989,0.1978,4.96326,0.000156675,0.000156675,0.000156675
11,113.961,1.76138,0.0989,0.18681,5.03138,0.000154972,0.000154972,0.000154972
12,124.511,1.61766,0.08791,0.18681,5.02582,0.000153269,0.000153269,0.000153269
13,134.349,1.53168,0.08791,0.18681,5.17662,0.000151566,0.000151566,0.000151566
14,144.73,1.38378,0.07692,0.18681,5.23168,0.000149864,0.000149864,0.000149864
15,155.505,1.31931,0.0989,0.18681,5.37964,0.000148161,0.000148161,0.000148161
16,166.212,1.21792,0.07692,0.18681,5.51052,0.000146458,0.000146458,0.000146458
17,176.443,1.17423,0.0989,0.18681,5.54628,0.000144755,0.000144755,0.000144755
18,187.328,1.06705,0.07692,0.17582,5.69805,0.000143052,0.000143052,0.000143052
